model,mean,std,var,num_words_miss
data1-cbow-300-10-20.model,0.2057502547485479,0.2841618932462781,0.08074798157330915,1422
data1-cbow-100-4-20.model,0.2633034137588799,0.2902339206968648,0.08423572872307403,1422
all_data-cbow-100-8-20.model,0.1891840405689192,0.24459159434366834,0.05982504802357761,644
data1-cbow-500-6-20.model,0.2242167885073706,0.28247621912258425,0.07979281436979022,1422
all_data-cbow-500-10-20.model,0.144121267943054,0.21062216171794612,0.04436169500674065,644
data2-cbow-100-8-20.model,0.2176350630030003,0.2854009730188918,0.0814537154001302,1221
data1-cbow-300-2-20.model,0.27591298790595686,0.2603304365790183,0.06777193620942226,1422
data1-cbow-100-2-20.model,0.3131623945083253,0.26720827206811515,0.07140026066162786,1422
data2-cbow-300-2-20.model,0.2661709338024759,0.2505450481437131,0.06277282114933551,1221
data1-cbow-500-4-20.model,0.24122509630576375,0.278411153542684,0.07751277041696795,1422
data1-cbow-100-10-20.model,0.2153110902125794,0.2973616841996892,0.08842397123007571,1422
all_data-cbow-300-4-20.model,0.18189169252256535,0.21843061729491986,0.04771193457183974,644
data2-cbow-500-10-20.model,0.19021322090463738,0.2681201229779581,0.07188840034571538,1221
data2-cbow-100-2-20.model,0.30309964346402446,0.2574538683806665,0.06628249434416952,1221
data2-cbow-100-4-20.model,0.251179024366969,0.27780770750918493,0.07717712235150884,1221
all_data-cbow-100-6-20.model,0.2021764555513164,0.24708743458890955,0.06105220033172866,644
data1-cbow-300-6-20.model,0.22493836522847452,0.28345077301110316,0.08034434072059193,1422
data2-cbow-300-6-20.model,0.21294374542943278,0.27028291033253266,0.07305285161782388,1221
all_data-cbow-500-2-20.model,0.18939972441898942,0.20499440785867404,0.0420227072533284,644
all_data-cbow-100-10-20.model,0.17555732354701878,0.2434397496430322,0.05926291170626219,644
data2-cbow-100-10-20.model,0.20504696624473803,0.2844474380732703,0.08091034502644694,1221
data1-cbow-500-2-20.model,0.274229240736386,0.26005832474078566,0.06763033226698394,1422
data1-cbow-300-8-20.model,0.21418935602892616,0.2849041751936278,0.08117038904276136,1422
all_data-cbow-500-4-20.model,0.1718368267496942,0.21338626683234993,0.04553369887264685,644
all_data-cbow-300-6-20.model,0.16874049379869344,0.21776991130484266,0.047423734269719034,644
data2-cbow-100-6-20.model,0.2324311698390111,0.28223491330633826,0.07965654628903629,1221
all_data-cbow-100-4-20.model,0.2216092211899738,0.24567225084376498,0.06035485483464178,644
data1-cbow-100-8-20.model,0.22956496149115113,0.2982030510152445,0.08892505963480053,1422
all_data-cbow-300-10-20.model,0.15140928153744274,0.2148811004273428,0.046173887320865775,644
data1-cbow-500-10-20.model,0.20322065558801075,0.2826195793099151,0.0798738266093134,1422
all_data-cbow-300-2-20.model,0.2052102463619847,0.20881736568907747,0.04360469221332591,644
all_data-cbow-300-8-20.model,0.15882316150817044,0.21667444031572292,0.046947813086131766,644
data2-cbow-300-10-20.model,0.19300348204082146,0.26999317359663416,0.07289631378878224,1221
data1-cbow-300-4-20.model,0.2441796340753262,0.27887547164647375,0.07777152868604317,1422
data2-cbow-500-6-20.model,0.20920533163900834,0.26887176485331643,0.0722920259353371,1221
all_data-cbow-100-2-20.model,0.26616954621936567,0.23457917153086547,0.0550273877161072,644
data1-cbow-100-6-20.model,0.24207252381376906,0.29632733260423105,0.08780988804833859,1422
data2-cbow-500-4-20.model,0.22526795965811616,0.2655552431641186,0.07051958717195417,1221
data1-cbow-500-8-20.model,0.21147850494595158,0.2836337317180537,0.08044809376830889,1422
data2-cbow-500-8-20.model,0.20077377995438958,0.2693158336924007,0.07253101827743284,1221
data2-cbow-300-4-20.model,0.2286228307697504,0.2670869275845676,0.07133542688656404,1221
data2-cbow-300-8-20.model,0.2022347883760821,0.27000611989040346,0.07290330477827092,1221
all_data-cbow-500-6-20.model,0.16054756248247012,0.21348411932464323,0.045575469203818504,644
data2-cbow-500-2-20.model,0.26113715000709414,0.2502107487313138,0.06260541878068465,1221
all_data-cbow-500-8-20.model,0.15207795474550187,0.21219607098212973,0.04502717254025304,644
